description,name,qty,retail,cost,dist,price,inner,outer,margin
,,,,33040,33040,41822.78481,,,0.79
Mono /Poly  Solar PV  Panel (Wattage & QTY),455,6,3000,18000,18000,22784.81013,pv,PV,
MC4 connectors  Twin pack ,,2,90,180,180,227.8481013,pv,PV,
Inverter 5kW HV  48VDC,,1,12000,12000,12000,15189.87342,pv,PV,
Panel Mount IBR/ROOF 3,,2,1190,2380,2380,3012.658228,pv,PV,
Flat Roof custom made stand,,0,8000,0,0,0,pv,PV,
Labour for PANEL Install +connections (3panels),,6,80,480,480,607.5949367,pv,PV,
,,,,,,,,,
Cabling Material PV and battery only,,,,4910,4910,6215.189873,,,
PV Solar panel wire 4mm sq  40Meter,,45,22,990,990,1253.164557,wire,PVCABLE,
PV Solar panel wire 6mm sq  40Meter,,0,24,,,,wire,PVCABLE,
Trailing cable 6mmsq 4 core  20M min,,0,97,0,0,0,wiretr,PVCABLE,
Trailing cable 10mmsq 4 core 20M min ,,1,120,120,120,151.8987342,wiretr,PVCABLE,
Panel flex  10mmsq red (100m),,1,1150,1150,1150,1455.696203,flex,PVCABLE,
Panel flex  10mmsq white (100m),,0,1150,0,0,0,flex,PVCABLE,
Panel flex  10mmsq blue   (100m),,0,1150,0,0,0,flex,PVCABLE,
Panel flex  10mmsq yellow green  (100m),,1,1150,1150,1150,1455.696203,flex,PVCABLE,
Panel flex  10mmsq black  ,,1,1150,1150,1150,1455.696203,flex,PVCABLE,
Earth cable 10mm sq bare PV,,0,25,0,0,0,earth,PVCABLE,
Battery  cable 16mm sq (4Meter),,10,35,350,350,443.0379747,batt,PVCABLE,
6mm sq Twin +earth ,,,53.76,0,0,0,earth,PVCABLE,
25mm sq welding cable,,0,48,0,0,0,weld,PVCABLE,
35mm sq welding cable,,0,60,0,0,0,weld,PVCABLE,
50mm sq welding cable,,0,95,0,0,0,weld,PVCABLE,
10mmX4 CU PVC SWA 1KV Armoured,,0,108,0,0,0,pvc,PVCABLE,
16mmX4 CU PVC SWA 1KV Armoured,,0,125,0,0,0,pvc,PVCABLE,
"AC distribution (AC Protection , Change over ,  and Consumables",,,,,4609,5834.177215,,PVCABLE,
VS212TJ 24 WAY SURFACE D/B OPAQUE DOOR,,0,850,0,0,0,din,AC,
WHITE DIN DB6-WAY FLUSH WITH DOOR AND TRAY,,2,300,600,600,759.4936709,din,AC,
WHITE DIN DB10-WAY FLUSH WITH DOOR AND TRAY,,0,300,0,0,0,din,AC,
WHITE DIN DB12-WAY FLUSH WITH DOOR AND TRAY,,0,487,0,0,0,din,AC,
WHITE DIN DB24-WAY FLUSH WITH DOOR AND TRAY,,0,570,0,0,0,din,AC,
"Consumables  (cable tires, lugs ,ins tape etc)",,1,500,500,500,632.9113924,cons,AC,
MA225Z 25A 2P 6kA MCB  (AC protection ),,2,289,578,578,731.6455696,acprot,AC,
SFT225 25A 2P Change over switch,,0,377,0,0,0,chover,AC,
SFT263 63A 2 pole change over ,,0,540,0,0,0,chover,AC,
SFT463 63A 4 pole change over ,,0,1432,0,0,0,chover,AC,
SFT240 40A 2 pole change over ,,0,377,0,0,0,chover,AC,
SFT440 40A 4 pole change over ,,0,727,0,0,0,chover,AC,
MA263Z 63A 2P 6kA MCB ,,0,454,0,0,0,mcb,AC,
MA463Z 63A 4P 6kA MCB,,0,1024,0,0,0,mcb,AC,
MA440Z 40A 4P 6kA MCB,,0,908,0,0,0,mcb,AC,
MA240Z 40A 2P 6kA MCB,,2,287,574,574,726.5822785,mcb,AC,
SPN140D class 2 surge protect 1Ph,,1,1357,1357,1357,1717.721519,surgprot,AC,
SPN440D class 2 surge protect 3ph+N,,0,4505,0,0,0,surgprot,AC,
AVR switch single phase ,,1,1000,1000,1000,1265.822785,avr,AC,
Cable Way and Accessories,,,,,600,759.4936709,sum,ACCABLE,
P1000/5 steel (176X127) trunking 3M,,0,650,0,0,0,cab,ACCABLE,
P8000 2.5M + PVC cover trunking (5M),,0,355,0,0,0,cab,ACCABLE,
solid trunking 65X65mm Grey 2M (4M),,4,150,600,600,759.4936709,cab,ACCABLE,
PV Protection BOX ,,,,,1460,1848.101266,sum,,
PSM3 -40/1000V PV  DC,,1,1200,1200,1200,1518.987342,pvprot,PVPROT,
16A fuse isolator,,2,130,260,260,329.1139241,pvprot,PVPROT,
DC Box (400X300X200) +terminals +glands ,,0,900,0,0,0,pvprot,PVPROT,
"Battery type- Gel 4,8kWh",,,,9400,9400,11898.73418,,,
lithium phosphate  US3000 ,,0,17000,0,0,0,batt,battery,
50Ah Lithium phosphate  2.4kWh (48V),,0,13000,0,0,0,batt,battery,
70Ah  Growatt 3.3L-C1  Li-Ion - 3.3kWh (48V),,0,15000,0,0,0,batt,battery,
100Ah Lithium phospate- 4.8kWh lithium (48V),,0,26000,0,0,0,batt,battery,
"105Ah Lithium phospate -5,1kWh lithium (48V)",,0,22500,0,0,0,batt,battery,
105Ah Li-Ion Freedomwon -5kWh 48V  ,,0,1100,0,0,0,batt,battery,
100Ah lithium  phosphase  UP2500 (24Vdc),,0,23000,0,0,0,batt,battery,
,,,,,,,batt,battery,
100Ah Gel AGM sun pays,,0,2590,0,0,0,batt,battery,
200Ah Navara Gel AGM,,2,3600,7200,7200,9113.924051,batt,battery,
200Ah Gel AGM  ,,0,4300,0,0,0,batt,battery,
240AH Gel AGM Omnipower (sinetech),,0,6900,0,0,0,batt,battery,
battery  cabinet (house 2 X US2000) Lithium,,0,3000,0,0,0,batprot,battery,
Battery protection 2kW (100A ) 24V system,,0,400,0,0,0,batprot,battery,
Battery protection 3kW (160A ) 24V system,,0,600,0,0,0,batprot,battery,
Battery protection 5kW (125A ) 48V system,,0,601,0,0,0,batprot,battery,
battery stand  (battery housing 2 100Ah AGM ),,2,1100,2200,2200,2784.810127,batstand,battery,
Battery stand  (battery housing) brackets,,0,828,0,0,0,batstand,battery,
,,,,,,,,,
description,name,qty,retail,,,,,,
Canadian PV,305,,R2 100.00,,,,panel,,
Canadian PV,365,,R2 500.00,,,,panel,,
Canadian PV,410,,R2 650.00,,,,panel,,
Canadian PV,455,,R3 000.00,,,,panel,,
Canadian PV,490,,R3 250.00,,,,panel,,
PV Solar  Panel Mono,545,,R3 500.00,,,,panel,,
PV Solar Panel  Mono,595,,R3 700.00,,,,panel,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Inverter 3kW 24VDC ,3000,,R5 750,,,,inv,,
Inverter 3kW  48VDC,3000,,6999,,,,inv,,
Inverter 5kW LV 48VDC,5000,,11000,,,,inv,,
Inverter 5kW HV  48VDC,5000,,12000,,,,inv,,
Inverter 5kW Hybrid 48VDC,5000,,21000,,,,inv,,
Inverter 8kW Hybrid 48VDC,8000,,31000,,,,inv,,
Inverter 12kW Hybrid 48VDC,12000,,45000,,,,inv,,
Panel Mount IBR/ROOF 2,roof2,,R793.00,,,,roof,,
,,,,,,,,,
Panel Mount IBR/ROOF 3,roof3,,R1 190.00,,,,roof,,
Panel Mount IBR/ROOF 4,roof4,,R1 587.20,,,,roof,,
